# TimeStamp(s) InactiveWorker YieldingWorker RunningWorker
# place(0)
0 8 0 0
0.003193758 7 0 1
0.003241454 7 1 0
0.003253347 6 1 1
0.003283079 5 1 2
0.003297896 4 1 3
0.003311573 3 1 4
0.003334543 2 1 5
0.003355826 1 1 6
0.003355818 0 1 7
0.003361762 1 1 6
0.003387582 0 1 7
0.003407967 1 1 6
0.003412996 2 1 5
0.003412795 3 1 4
0.003422127 2 1 5
0.003425651 1 1 6
0.00344379 0 1 7
0.00344922 1 1 6
0.003449877 2 1 5
0.00345118 3 1 4
0.003454355 4 1 3
0.003463797 3 1 4
0.003463847 2 1 5
0.003464328 3 1 4
0.003470034 4 1 3
0.0034717 5 1 2
0.003474382 6 1 1
0.003477702 7 1 0
0.008333542 8 0 0
0.008372327 8 1 -1
0.008398188 7 1 0
0.008460152 6 1 1
0.008467983 5 1 2
0.008473713 4 1 3
0.008509587 5 1 2
0.008517698 4 1 3
0.008520034 3 1 4
0.008520029 2 1 5
0.008526621 1 1 6
0.008550775 2 1 5
0.008553852 3 1 4
0.008559746 4 1 3
0.008567657 3 1 4
0.008569632 4 1 3
0.008579527 3 1 4
0.008581965 4 1 3
0.008592793 3 1 4
0.008591698 4 1 3
0.008595522 5 1 2
0.008595013 6 1 1
0.008597644 5 1 2
0.008601163 4 1 3
0.008604546 5 1 2
0.008607232 6 1 1
0.008612384 7 1 0
0.008618856 8 1 -1
0.013455191 9 0 -1
0.013481695 9 1 -2
0.013502258 8 1 -1
0.013525633 7 1 0
0.013543762 6 1 1
0.013566117 5 1 2
0.013570848 6 1 1
0.013578293 5 1 2
0.013584921 4 1 3
0.013584903 3 1 4
0.01359002 2 1 5
0.013607386 3 1 4
0.013608325 4 1 3
0.013610673 5 1 2
0.013611623 6 1 1
0.013615409 7 1 0
0.013617123 8 1 -1
0.013633544 7 1 0
0.013639864 8 1 -1
0.013659672 9 1 -2
0.018573202 10 0 -2
0.018625298 10 1 -3
0.018670248 9 1 -2
0.018744473 10 1 -3
0.018749836 9 1 -2
0.018752549 8 1 -1
0.018763545 7 1 0
0.018769143 8 1 -1
0.018775172 7 1 0
0.018785857 6 1 1
0.018802112 5 1 2
0.018814178 6 1 1
0.018817939 7 1 0
0.018819954 8 1 -1
0.018819591 7 1 0
0.018831486 8 1 -1
0.018832305 9 1 -2
0.018840913 10 1 -3
0.02372229 11 0 -3
0.023760619 11 1 -4
0.023775824 10 1 -3
0.023826643 11 1 -4
0.023823445 10 1 -3
0.023829487 9 1 -2
0.023870485 8 1 -1
0.023877115 9 1 -2
0.023877123 10 1 -3
0.023888815 11 1 -4
0.028861618 12 0 -4
0.028900456 12 1 -5
0.028944323 11 1 -4
0.028992092 12 1 -5
0.028998549 11 1 -4
0.029009868 12 1 -5
0.033997676 13 0 -5
0.034033912 13 1 -6
0.034079408 12 1 -5
0.034101941 13 1 -6
0.039125364 14 0 -6
0.039651153 15 0 -7
0.044018266 15 0 -7


# place(1)
0 8 0 0
0.044018266 8 0 0


# place(2)
0 8 0 0
0.044018266 8 0 0


# place(3)
0 8 0 0
0.044018266 8 0 0


