# TimeStamp(s) InactiveWorker YieldingWorker RunningWorker
# place(0)
0 8 0 0
0.00345336 7 0 1
0.003487759 7 1 0
0.003493481 6 1 1
0.003514796 5 1 2
0.003534092 4 1 3
0.003541641 3 1 4
0.003545929 2 1 5
0.003664364 3 1 4
0.003667105 4 1 3
0.003671517 3 1 4
0.003675146 2 1 5
0.003712187 3 1 4
0.003716253 2 1 5
0.00373316 3 1 4
0.003736606 2 1 5
0.003748207 3 1 4
0.003751806 2 1 5
0.003759509 3 1 4
0.003760917 4 1 3
0.003761225 5 1 2
0.003761911 4 1 3
0.00376426 3 1 4
0.003767878 2 1 5
0.003770079 3 1 4
0.003772393 2 1 5
0.003780073 3 1 4
0.003781285 4 1 3
0.003783593 3 1 4
0.003783848 4 1 3
0.003784246 3 1 4
0.003785659 4 1 3
0.003785242 5 1 2
0.00379408 6 1 1
0.003794875 7 1 0
0.003794939 6 1 1
0.003801053 7 1 0
0.008573915 8 0 0
0.008619182 8 1 -1
0.008630316 7 1 0
0.008648682 6 1 1
0.008668321 5 1 2
0.008676615 4 1 3
0.008699112 3 1 4
0.008706641 2 1 5
0.008744193 3 1 4
0.008744126 4 1 3
0.008748749 3 1 4
0.008751089 2 1 5
0.008767595 3 1 4
0.008768267 4 1 3
0.008770956 3 1 4
0.008776044 2 1 5
0.008779578 3 1 4
0.008781158 4 1 3
0.008781864 5 1 2
0.008783993 4 1 3
0.008784243 3 1 4
0.008789239 4 1 3
0.008791532 5 1 2
0.008791879 4 1 3
0.008793106 3 1 4
0.008795111 4 1 3
0.008798613 3 1 4
0.008799986 4 1 3
0.008799788 5 1 2
0.008799337 6 1 1
0.008801579 7 1 0
0.008804929 8 1 -1
0.013707002 9 0 -1
0.01373643 9 1 -2
0.013747051 8 1 -1
0.013795392 7 1 0
0.013813298 6 1 1
0.013823705 5 1 2
0.013830996 4 1 3
0.013842371 3 1 4
0.013842367 2 1 5
0.013866553 3 1 4
0.013868738 4 1 3
0.013868474 5 1 2
0.013876239 6 1 1
0.013875979 5 1 2
0.013876538 4 1 3
0.013879048 3 1 4
0.013883963 2 1 5
0.013894999 3 1 4
0.013896122 4 1 3
0.013897307 5 1 2
0.013896793 6 1 1
0.013901738 5 1 2
0.013903246 6 1 1
0.013903701 7 1 0
0.013906707 8 1 -1
0.013911801 9 1 -2
0.018825951 10 0 -2
0.018847732 10 1 -3
0.018884584 9 1 -2
0.018919561 8 1 -1
0.018937134 7 1 0
0.018938587 6 1 1
0.018944464 5 1 2
0.018973667 6 1 1
0.018972636 5 1 2
0.018972634 4 1 3
0.018975614 5 1 2
0.018982212 6 1 1
0.018983281 5 1 2
0.018984335 4 1 3
0.018993697 5 1 2
0.018994097 4 1 3
0.018997362 5 1 2
0.018998197 6 1 1
0.018998206 7 1 0
0.019000993 6 1 1
0.019006708 5 1 2
0.019006703 6 1 1
0.01900884 7 1 0
0.019009021 6 1 1
0.019009896 5 1 2
0.019014802 6 1 1
0.019015193 7 1 0
0.019015451 8 1 -1
0.019015857 9 1 -2
0.019017249 8 1 -1
0.019022212 9 1 -2
0.019023675 10 1 -3
0.023949935 11 0 -3
0.023999002 11 1 -4
0.024033554 10 1 -3
0.024070106 9 1 -2
0.024115338 10 1 -3
0.024123827 11 1 -4
0.02412684 10 1 -3
0.024126641 9 1 -2
0.024125453 8 1 -1
0.024125456 7 1 0
0.024126293 6 1 1
0.024126296 5 1 2
0.024136335 6 1 1
0.024145919 5 1 2
0.024151934 6 1 1
0.02415143 7 1 0
0.024155705 6 1 1
0.024155741 5 1 2
0.024158066 4 1 3
0.024162249 5 1 2
0.024162289 6 1 1
0.024163622 7 1 0
0.024163619 8 1 -1
0.024164583 9 1 -2
0.024165171 8 1 -1
0.024166282 9 1 -2
0.02417077 10 1 -3
0.024170911 11 1 -4
0.029098644 12 0 -4
0.029128424 12 1 -5
0.029137892 11 1 -4
0.029205523 10 1 -3
0.029214338 9 1 -2
0.029218617 8 1 -1
0.029219418 9 1 -2
0.029226916 8 1 -1
0.029243058 7 1 0
0.029245606 8 1 -1
0.029245032 9 1 -2
0.029248719 8 1 -1
0.029250768 9 1 -2
0.029252468 8 1 -1
0.029252652 9 1 -2
0.029255324 10 1 -3
0.02925855 9 1 -2
0.029259252 8 1 -1
0.029259992 9 1 -2
0.029264567 10 1 -3
0.029265868 11 1 -4
0.029283088 12 1 -5
0.029286449 11 1 -4
0.029291323 12 1 -5
0.034216234 13 0 -5
0.034250366 13 1 -6
0.034292735 12 1 -5
0.034339112 13 1 -6
0.034355308 12 1 -5
0.034365483 11 1 -4
0.034368339 10 1 -3
0.034371857 11 1 -4
0.034381535 12 1 -5
0.034388049 11 1 -4
0.034390166 12 1 -5
0.034403506 13 1 -6
0.039331234 14 0 -6
0.039350787 14 1 -7
0.039359146 13 1 -6
0.039386059 12 1 -5
0.039392055 13 1 -6
0.039421085 14 1 -7
0.039423076 13 1 -6
0.039427144 14 1 -7
0.044424302 15 0 -7
0.044449222 15 1 -8
0.044458921 14 1 -7
0.044482309 15 1 -8
0.049543999 16 0 -8
0.050013628 17 0 -9
0.050347092 17 0 -9


# place(1)
0 8 0 0
0.050347092 8 0 0


# place(2)
0 8 0 0
0.050347092 8 0 0


# place(3)
0 8 0 0
0.050347092 8 0 0


