# TimeStamp(s) InactiveWorker YieldingWorker RunningWorker
# place(0)
0 8 0 0
0.003471287 7 0 1
0.003531076 7 1 0
0.003551032 6 1 1
0.003573211 5 1 2
0.003592416 4 1 3
0.003608974 3 1 4
0.00361452 2 1 5
0.003632684 1 1 6
0.003634872 0 1 7
0.00368159 1 1 6
0.003696707 0 1 7
0.003709519 1 1 6
0.003723609 0 1 7
0.003725336 1 1 6
0.003744493 2 1 5
0.003746214 3 1 4
0.003746209 4 1 3
0.003746573 5 1 2
0.003749797 6 1 1
0.003751666 5 1 2
0.003759219 4 1 3
0.003765859 5 1 2
0.003770906 4 1 3
0.003773145 5 1 2
0.003784972 6 1 1
0.003785682 7 1 0
0.008627437 8 0 0
0.008666794 8 1 -1
0.008686585 7 1 0
0.008747776 8 1 -1
0.008752292 7 1 0
0.008752771 6 1 1
0.008755708 5 1 2
0.008786339 4 1 3
0.008800549 3 1 4
0.008800545 2 1 5
0.008806241 1 1 6
0.00882526 2 1 5
0.008827876 3 1 4
0.008842612 4 1 3
0.008842616 5 1 2
0.008840537 6 1 1
0.008847436 5 1 2
0.008848531 4 1 3
0.008862998 5 1 2
0.008862186 6 1 1
0.00886626 7 1 0
0.008865897 6 1 1
0.00886881 7 1 0
0.008872998 8 1 -1
0.013756051 9 0 -1
0.013789672 9 1 -2
0.013811116 8 1 -1
0.013846587 7 1 0
0.013863839 6 1 1
0.013869167 5 1 2
0.013893393 4 1 3
0.013895826 3 1 4
0.013907443 4 1 3
0.013922924 3 1 4
0.013933362 4 1 3
0.013935282 5 1 2
0.013934899 4 1 3
0.013940227 5 1 2
0.01395215 6 1 1
0.013953023 5 1 2
0.013955899 6 1 1
0.013958498 5 1 2
0.013972591 6 1 1
0.013974143 5 1 2
0.013977632 6 1 1
0.01398344 7 1 0
0.013991795 6 1 1
0.013996164 5 1 2
0.014016953 6 1 1
0.014017297 7 1 0
0.014017713 8 1 -1
0.014019266 9 1 -2
0.018869426 10 0 -2
0.018893653 10 1 -3
0.018914825 9 1 -2
0.018947862 8 1 -1
0.018995149 7 1 0
0.0189972 6 1 1
0.018998457 7 1 0
0.019003931 6 1 1
0.019005217 5 1 2
0.019000214 4 1 3
0.019023427 5 1 2
0.019030188 4 1 3
0.019040522 5 1 2
0.01904056 6 1 1
0.019043855 5 1 2
0.019052919 4 1 3
0.019054665 3 1 4
0.019055119 4 1 3
0.019059826 5 1 2
0.019061449 6 1 1
0.019079855 7 1 0
0.019082034 8 1 -1
0.019084859 9 1 -2
0.019085551 10 1 -3
0.023971536 11 0 -3
0.023993277 11 1 -4
0.024041967 10 1 -3
0.024124622 11 1 -4
0.024133774 10 1 -3
0.024136082 9 1 -2
0.024140141 8 1 -1
0.024155337 7 1 0
0.024164433 6 1 1
0.024173875 7 1 0
0.024174656 8 1 -1
0.024176949 7 1 0
0.024177328 8 1 -1
0.024177706 9 1 -2
0.024191215 8 1 -1
0.024193843 7 1 0
0.024198081 8 1 -1
0.024211079 9 1 -2
0.024215076 10 1 -3
0.024216429 11 1 -4
0.029086052 12 0 -4
0.029119801 12 1 -5
0.029157621 11 1 -4
0.029202972 10 1 -3
0.02921386 11 1 -4
0.029218871 10 1 -3
0.029232232 11 1 -4
0.029234162 10 1 -3
0.029249189 11 1 -4
0.029254878 12 1 -5
0.034213581 13 0 -5
0.034247237 13 1 -6
0.034288924 12 1 -5
0.034329042 13 1 -6
0.034335016 12 1 -5
0.034365657 13 1 -6
0.039329523 14 0 -6
0.039360715 14 1 -7
0.039403082 13 1 -6
0.039418174 14 1 -7
0.0444521 15 0 -7
0.045077023 16 0 -8
0.050430807 16 0 -8


# place(1)
0 8 0 0
0.050430807 8 0 0


# place(2)
0 8 0 0
0.050430807 8 0 0


# place(3)
0 8 0 0
0.050430807 8 0 0


