# TimeStamp(s) InactiveWorker YieldingWorker RunningWorker
# place(0)
0 8 0 0
0.006142077 7 0 1
0.006238159 7 1 0
0.006275958 6 1 1
0.006385008 5 1 2
0.006435262 4 1 3
0.006475661 3 1 4
0.006516357 2 1 5
0.006545673 1 1 6
0.006710021 2 1 5
0.006741285 1 1 6
0.006772183 0 1 7
0.006839864 1 1 6
0.006853012 2 1 5
0.006883748 3 1 4
0.006923114 4 1 3
0.006976584 5 1 2
0.006978421 6 1 1
0.006981377 5 1 2
0.006982223 4 1 3
0.00699757 3 1 4
0.007003521 2 1 5
0.007025892 3 1 4
0.007028669 2 1 5
0.007036226 3 1 4
0.007058928 2 1 5
0.007073078 1 1 6
0.007076136 0 1 7
0.007079351 1 1 6
0.007094873 2 1 5
0.007099255 3 1 4
0.007101963 4 1 3
0.007106127 5 1 2
0.007135653 4 1 3
0.007140225 5 1 2
0.007178656 6 1 1
0.007486807 5 1 2
0.007528556 4 1 3
0.007572444 3 1 4
0.007579322 2 1 5
0.007640623 3 1 4
0.007653812 2 1 5
0.0077066 3 1 4
0.007713804 4 1 3
0.007717848 5 1 2
0.007717947 4 1 3
0.007727184 3 1 4
0.0077496 4 1 3
0.007764706 3 1 4
0.007774281 2 1 5
0.007798685 3 1 4
0.007799256 4 1 3
0.007802866 5 1 2
0.007807074 4 1 3
0.007805828 5 1 2
0.007810397 6 1 1
0.007813199 5 1 2
0.00782616 6 1 1
0.007871145 7 1 0
0.007880492 6 1 1
0.007920491 7 1 0
0.011369744 8 0 0
0.011507084 8 1 -1
0.011532244 7 1 0
0.01161101 6 1 1
0.011636645 5 1 2
0.01167875 4 1 3
0.011710741 3 1 4
0.011721668 2 1 5
0.011817784 3 1 4
0.011818755 4 1 3
0.011832541 3 1 4
0.011838859 2 1 5
0.011866078 3 1 4
0.011871554 2 1 5
0.011873824 3 1 4
0.011886133 4 1 3
0.011889369 5 1 2
0.01189375 4 1 3
0.011897303 3 1 4
0.011908489 4 1 3
0.011910159 5 1 2
0.01191113 6 1 1
0.011916132 5 1 2
0.011919275 6 1 1
0.011930746 7 1 0
0.011954201 8 1 -1
0.01195644 7 1 0
0.011983832 8 1 -1
0.016613214 9 0 -1
0.016705385 9 1 -2
0.016762451 8 1 -1
0.016880518 7 1 0
0.017023476 6 1 1
0.017028252 5 1 2
0.017055496 4 1 3
0.017075782 3 1 4
0.017108536 4 1 3
0.017114272 3 1 4
0.017142332 2 1 5
0.017144888 3 1 4
0.017147303 4 1 3
0.017149873 5 1 2
0.017157 4 1 3
0.017167855 3 1 4
0.01717646 4 1 3
0.017179754 5 1 2
0.017193784 6 1 1
0.017196565 7 1 0
0.017221168 8 1 -1
0.01723155 9 1 -2
0.021784248 10 0 -2
0.021907178 10 1 -3
0.021928466 9 1 -2
0.021967048 8 1 -1
0.022018539 7 1 0
0.022026692 6 1 1
0.022030566 5 1 2
0.022039392 4 1 3
0.022064983 5 1 2
0.022067668 6 1 1
0.022067546 7 1 0
0.022067597 6 1 1
0.022070287 7 1 0
0.022074985 8 1 -1
0.02209919 9 1 -2
0.022104197 8 1 -1
0.022111177 9 1 -2
0.022114418 10 1 -3
0.027010204 11 0 -3
0.027068895 11 1 -4
0.027106513 10 1 -3
0.027207702 9 1 -2
0.027275906 8 1 -1
0.027283185 7 1 0
0.02729257 8 1 -1
0.027294416 9 1 -2
0.02729258 8 1 -1
0.027337165 9 1 -2
0.027346249 8 1 -1
0.027364744 7 1 0
0.027375126 8 1 -1
0.027387796 7 1 0
0.027400155 8 1 -1
0.0274014 9 1 -2
0.027414405 10 1 -3
0.027417056 11 1 -4
0.032166572 12 0 -4
0.032203954 12 1 -5
0.032214109 11 1 -4
0.032253441 10 1 -3
0.032259694 11 1 -4
0.032259422 10 1 -3
0.032303277 11 1 -4
0.032314789 10 1 -3
0.032326232 11 1 -4
0.032336915 12 1 -5
0.037295878 13 0 -5
0.037337548 13 1 -6
0.03737604 12 1 -5
0.037437317 11 1 -4
0.037450136 12 1 -5
0.037466364 13 1 -6
0.042426353 14 0 -6
0.04246778 14 1 -7
0.042506287 13 1 -6
0.042544301 14 1 -7
0.047557653 15 0 -7
0.04802096 16 0 -8
0.056888565 16 0 -8


# place(1)
0 8 0 0
0.056888565 8 0 0


# place(2)
0 8 0 0
0.056888565 8 0 0


# place(3)
0 8 0 0
0.056888565 8 0 0


