# TimeStamp(s) InactiveWorker YieldingWorker RunningWorker
# place(0)
0 8 0 0
0.00295168 7 0 1
0.003021923 7 1 0
0.003031991 6 1 1
0.003079615 5 1 2
0.003118841 4 1 3
0.003129721 3 1 4
0.003138782 2 1 5
0.003138817 1 1 6
0.003158231 0 1 7
0.003171006 1 1 6
0.003182616 0 1 7
0.003189475 1 1 6
0.003190775 2 1 5
0.003191973 3 1 4
0.003196339 4 1 3
0.00319706 5 1 2
0.003202913 6 1 1
0.003215774 7 1 0
0.008114252 8 0 0
0.008168638 8 1 -1
0.008189582 7 1 0
0.00825299 6 1 1
0.008257199 5 1 2
0.008277474 6 1 1
0.00827795 5 1 2
0.008306575 4 1 3
0.008310284 5 1 2
0.008316954 4 1 3
0.008352411 5 1 2
0.008352036 4 1 3
0.008355377 3 1 4
0.008355767 4 1 3
0.008360257 5 1 2
0.008368986 6 1 1
0.008370355 7 1 0
0.008372139 8 1 -1
0.013266554 9 0 -1
0.01331081 9 1 -2
0.013333606 8 1 -1
0.013375099 7 1 0
0.013404208 8 1 -1
0.013410962 7 1 0
0.013439016 8 1 -1
0.013440207 7 1 0
0.013441193 8 1 -1
0.013454651 9 1 -2
0.018407594 10 0 -2
0.018461467 10 1 -3
0.018516916 9 1 -2
0.018591856 10 1 -3
0.018598511 9 1 -2
0.018612253 10 1 -3
0.023553096 11 0 -3
0.023625135 11 1 -4
0.023642932 10 1 -3
0.023687101 11 1 -4
0.028723732 12 0 -4
0.029271108 13 0 -5
0.033828949 13 0 -5


# place(1)
0 8 0 0
0.033828949 8 0 0


# place(2)
0 8 0 0
0.033828949 8 0 0


# place(3)
0 8 0 0
0.033828949 8 0 0


