# TimeStamp(s) InactiveWorker YieldingWorker RunningWorker
# place(0)
0 8 0 0
0.003223399 7 0 1
0.003343416 7 1 0
0.003370301 6 1 1
0.003485403 5 1 2
0.003492565 4 1 3
0.003500999 3 1 4
0.003540837 2 1 5
0.00355043 1 1 6
0.0035606 0 1 7
0.003595857 1 1 6
0.003606192 0 1 7
0.003659467 1 1 6
0.003660193 2 1 5
0.003671521 3 1 4
0.003671845 4 1 3
0.003673527 5 1 2
0.003676957 4 1 3
0.003679599 5 1 2
0.003699655 6 1 1
0.003707172 7 1 0
0.008432474 8 0 0
0.008535845 8 1 -1
0.008565101 7 1 0
0.008682882 6 1 1
0.008704727 5 1 2
0.008714448 4 1 3
0.008722966 5 1 2
0.00872523 4 1 3
0.00875194 3 1 4
0.008752911 2 1 5
0.008775189 3 1 4
0.008778158 4 1 3
0.008783894 3 1 4
0.00879378 4 1 3
0.008796436 5 1 2
0.008796523 6 1 1
0.008802431 7 1 0
0.008804095 8 1 -1
0.013625635 9 0 -1
0.013685931 9 1 -2
0.013726903 8 1 -1
0.013803977 7 1 0
0.013821154 6 1 1
0.01382333 7 1 0
0.013856518 6 1 1
0.013857936 7 1 0
0.01386329 8 1 -1
0.013889389 9 1 -2
0.018784319 10 0 -2
0.018845648 10 1 -3
0.018889378 9 1 -2
0.018959645 8 1 -1
0.018967389 9 1 -2
0.018994206 10 1 -3
0.023939765 11 0 -3
0.024007882 11 1 -4
0.024054442 10 1 -3
0.02410834 11 1 -4
0.029104846 12 0 -4
0.02914525 13 0 -5
0.029552058 13 0 -5


# place(1)
0 8 0 0
0.029552058 8 0 0


# place(2)
0 8 0 0
0.029552058 8 0 0


# place(3)
0 8 0 0
0.029552058 8 0 0


