# TimeStamp(s) InactiveWorker YieldingWorker RunningWorker
# place(0)
0 8 0 0
0.004182633 7 0 1
0.004306048 7 1 0
0.004347091 6 1 1
0.004466279 5 1 2
0.004525273 4 1 3
0.004549899 3 1 4
0.004565644 4 1 3
0.004571086 5 1 2
0.00457232 4 1 3
0.004578492 5 1 2
0.004633207 6 1 1
0.004644217 7 1 0
0.009414421 8 0 0
0.009501801 8 1 -1
0.009529441 7 1 0
0.009697357 6 1 1
0.009703336 7 1 0
0.009800131 8 1 -1
0.014585101 9 0 -1
0.014722846 9 1 -2
0.014760737 8 1 -1
0.014818735 9 1 -2
0.019819459 10 0 -2
0.020378305 11 0 -3
0.025399036 11 0 -3


# place(1)
0 8 0 0
0.025399036 8 0 0


# place(2)
0 8 0 0
0.025399036 8 0 0


# place(3)
0 8 0 0
0.025399036 8 0 0


