# TimeStamp(s) InactiveWorker YieldingWorker RunningWorker
# place(0)
0 8 0 0
0.002796853 7 0 1
0.002961651 7 1 0
0.002983786 6 1 1
0.003103833 5 1 2
0.003174647 4 1 3
0.003220458 5 1 2
0.003222986 6 1 1
0.003221945 5 1 2
0.003241242 6 1 1
0.003252611 7 1 0
0.008061188 8 0 0
0.008141812 8 1 -1
0.008151825 7 1 0
0.008269719 8 1 -1
0.008276951 7 1 0
0.008339817 8 1 -1
0.013231801 9 0 -1
0.013317698 9 1 -2
0.013327544 8 1 -1
0.013384822 9 1 -2
0.018420318 10 0 -2
0.018474363 11 0 -3
0.022962389 11 0 -3


# place(1)
0 8 0 0
0.022962389 8 0 0


# place(2)
0 8 0 0
0.022962389 8 0 0


# place(3)
0 8 0 0
0.022962389 8 0 0


