# TimeStamp(s) InactiveWorker YieldingWorker RunningWorker
# place(0)
0 8 0 0
0.003413911 7 0 1
0.003503568 7 1 0
0.003533629 6 1 1
0.003671113 5 1 2
0.003766135 4 1 3
0.003845856 5 1 2
0.003881004 6 1 1
0.003880118 7 1 0
0.008594683 8 0 0
0.008672053 8 1 -1
0.008690318 7 1 0
0.008825913 8 1 -1
0.008833894 7 1 0
0.008882362 8 1 -1
0.013766969 9 0 -1
0.013848002 9 1 -2
0.013872923 8 1 -1
0.013918068 9 1 -2
0.01894352 10 0 -2
0.019347721 11 0 -3
0.023906224 11 0 -3


# place(1)
0 8 0 0
0.023906224 8 0 0


# place(2)
0 8 0 0
0.023906224 8 0 0


# place(3)
0 8 0 0
0.023906224 8 0 0


