# TimeStamp(s) InactiveWorker YieldingWorker RunningWorker
# place(0)
0 8 0 0
0.003609002 7 0 1
0.003816811 7 1 0
0.003848545 6 1 1
0.00406265 5 1 2
0.004155972 4 1 3
0.004210263 3 1 4
0.004229024 4 1 3
0.004334511 3 1 4
0.004363344 4 1 3
0.004369413 5 1 2
0.004388579 6 1 1
0.004392228 7 1 0
0.008916373 8 0 0
0.00903944 8 1 -1
0.009078342 7 1 0
0.009258974 6 1 1
0.00926672 7 1 0
0.009403501 8 1 -1
0.014145134 9 0 -1
0.014281017 9 1 -2
0.014320512 8 1 -1
0.014454335 9 1 -2
0.019387776 10 0 -2
0.019941583 11 0 -3
0.020311995 11 0 -3


# place(1)
0 8 0 0
0.020311995 8 0 0


# place(2)
0 8 0 0
0.020311995 8 0 0


# place(3)
0 8 0 0
0.020311995 8 0 0


