# TimeStamp(s) InactiveWorker YieldingWorker RunningWorker
# place(0)
0 8 0 0
0.002692229 7 0 1
0.002777753 7 1 0
0.002819443 6 1 1
0.002986305 5 1 2
0.003035167 4 1 3
0.003038944 5 1 2
0.003132816 4 1 3
0.003138152 5 1 2
0.003144428 6 1 1
0.00321716 7 1 0
0.00782873 8 0 0
0.007906027 8 1 -1
0.007947744 7 1 0
0.008084785 8 1 -1
0.008102129 7 1 0
0.008172958 8 1 -1
0.012989629 9 0 -1
0.013070928 9 1 -2
0.013124148 8 1 -1
0.013195654 9 1 -2
0.018164168 10 0 -2
0.018714068 11 0 -3
0.023289567 11 0 -3


# place(1)
0 8 0 0
0.023289567 8 0 0


# place(2)
0 8 0 0
0.023289567 8 0 0


# place(3)
0 8 0 0
0.023289567 8 0 0


