# TimeStamp(s) InactiveWorker YieldingWorker RunningWorker
# place(0)
0 8 0 0
0.003100076 7 0 1
0.003183968 7 1 0
0.003220746 6 1 1
0.00336094 5 1 2
0.003423949 4 1 3
0.003480545 5 1 2
0.003486914 4 1 3
0.003492144 5 1 2
0.003503759 6 1 1
0.003508984 7 1 0
0.008265977 8 0 0
0.008359731 8 1 -1
0.008394149 7 1 0
0.00853217 6 1 1
0.008534879 7 1 0
0.008627058 8 1 -1
0.01344131 9 0 -1
0.013530151 9 1 -2
0.013554697 8 1 -1
0.013614383 9 1 -2
0.018634218 10 0 -2
0.019126677 11 0 -3
0.024953206 11 0 -3


# place(1)
0 8 0 0
0.024953206 8 0 0


# place(2)
0 8 0 0
0.024953206 8 0 0


# place(3)
0 8 0 0
0.024953206 8 0 0


