Concurrent workers; 68
Granulatiry; 10
Lifeline class; handist.collections.glb.lifeline.Hypercube
Serialization; KRYO
place(0): thread waiting on operation handist.collections.glb.GlbOperation@5
place(2): thread waiting on operation handist.collections.glb.GlbOperation@5place(3): thread waiting on operation handist.collections.glb.GlbOperation@5

place(1): thread waiting on operation handist.collections.glb.GlbOperation@5
place(0) worker(23) stopped --- 30 stopped workers
place(0) worker(48) stopped --- 29 stopped workers
place(0) worker(16) stopped --- 28 stopped workers
place(0) worker(19) stopped --- 28 stopped workers
place(0) worker(12) stopped --- 27 stopped workers
place(0) worker(30) stopped --- 27 stopped workers
place(0) worker(29) stopped --- 27 stopped workers
place(0) worker(9) stopped --- 24 stopped workers
place(0) worker(20) stopped --- 24 stopped workers
place(0) worker(63) stopped --- 24 stopped workers
place(0) worker(18) stopped --- 23 stopped workers
place(0) worker(10) stopped --- 22 stopped workers
place(0) worker(32) stopped --- 22 stopped workers
place(0) worker(11) stopped --- 21 stopped workers
place(0) worker(25) stopped --- 21 stopped workers
place(0) worker(52) stopped --- 20 stopped workers
place(0) worker(28) stopped --- 20 stopped workers
place(0) worker(23) stopped --- 19 stopped workers
place(0) worker(31) stopped --- 18 stopped workers
place(0) worker(19) stopped --- 18 stopped workers
place(0) worker(46) stopped --- 17 stopped workers
place(0) worker(27) stopped --- 16 stopped workers
place(0) worker(29) stopped --- 15 stopped workers
place(0) worker(25) stopped --- 16 stopped workers
place(0) worker(7) stopped --- 15 stopped workers
place(0) worker(61) stopped --- 14 stopped workers
place(0) worker(47) stopped --- 14 stopped workers
place(0) worker(13) stopped --- 15 stopped workers
place(0) worker(57) stopped --- 13 stopped workers
place(0) worker(5) stopped --- 14 stopped workers
place(0) worker(33) stopped --- 14 stopped workers
place(0) worker(19) stopped --- 12 stopped workers
place(0) worker(41) stopped --- 13 stopped workers
place(0) worker(21) stopped --- 13 stopped workers
place(0) worker(0) stopped --- 12 stopped workers
place(0) worker(5) stopped --- 12 stopped workers
place(0) worker(67) stopped --- 11 stopped workers
place(0) worker(60) stopped --- 13 stopped workers
place(0) worker(65) stopped --- 13 stopped workers
place(0) worker(49) stopped --- 9 stopped workers
place(0) worker(21) stopped --- 10 stopped workers
place(0) worker(25) stopped --- 11 stopped workers
place(0) worker(39) stopped --- 11 stopped workers
place(0) worker(61) stopped --- 11 stopped workers
place(0) worker(19) stopped --- 12 stopped workers
place(0) worker(50) stopped --- 15 stopped workers
place(0) worker(38) stopped --- 15 stopped workers
place(0) worker(34) stopped --- 10 stopped workers
place(0) worker(47) stopped --- 12 stopped workers
place(0) worker(21) stopped --- 14 stopped workers
place(0) worker(12) stopped --- 13 stopped workers
place(0) worker(56) stopped --- 11 stopped workers
place(0): resumed after waiting on handist.collections.glb.GlbOperation@5
place(0) worker(34) stopped --- 68 stopped workers
place(0) worker(6) stopped --- 67 stopped workers
place(0) worker(56) stopped --- 66 stopped workers
place(0) worker(19) stopped --- 65 stopped workers
place(0) worker(26) stopped --- 64 stopped workers
place(0) worker(45) stopped --- 64 stopped workers
place(0) worker(55) stopped --- 63 stopped workers
place(0) worker(12) stopped --- 61 stopped workers
place(0) worker(44) stopped --- 61 stopped workers
place(0) worker(9) stopped --- 59 stopped workers
place(0) worker(65) stopped --- 58 stopped workers
place(0) worker(37) stopped --- 57 stopped workers
place(0) worker(31) stopped --- 56 stopped workers
place(0) worker(29) stopped --- 55 stopped workers
place(0) worker(63) stopped --- 54 stopped workers
place(0) worker(21) stopped --- 53 stopped workers
place(0) worker(53) stopped --- 52 stopped workers
place(0) worker(66) stopped --- 51 stopped workers
place(0) worker(5) stopped --- 51 stopped workers
place(0) worker(1) stopped --- 50 stopped workers
place(0) worker(50) stopped --- 50 stopped workers
place(0) worker(35) stopped --- 50 stopped workers
place(0) worker(14) stopped --- 50 stopped workers
place(0) worker(40) stopped --- 50 stopped workers
place(0) established lifeline on place(2) for collection DistChunkedList:gid(1)
place(3) worker(40) stopped --- 5 stopped workers
place(3) worker(62) stopped --- 6 stopped workers
place(3) worker(13) stopped --- 5 stopped workers
place(3) worker(22) stopped --- 5 stopped workers
place(3) worker(61) stopped --- 5 stopped workers
place(3) worker(28) stopped --- 6 stopped workers
-DistColGlb- [place(2)] to [place(0)]: [761000,762000) [765000,766000) [769000,770000) [773000,774000) [777000,778000) [781000,782000) [785000,786000) [789000,790000) [793000,794000) [797000,798000) 
place(3) worker(48) stopped --- 1 stopped workers
place(3) worker(19) stopped --- 1 stopped workers
place(3) worker(45) stopped --- 2 stopped workers
place(3) worker(6) stopped --- 6 stopped workers
place(3) worker(2) stopped --- 6 stopped workers
place(3) worker(54) stopped --- 5 stopped workers
place(3) worker(42) stopped --- 4 stopped workers
place(3) worker(55) stopped --- 3 stopped workers
place(3) worker(3) stopped --- 1 stopped workers
place(3) worker(46) stopped --- 40 stopped workers
place(3) worker(7) stopped --- 42 stopped workers
place(3) worker(3) stopped --- 45 stopped workers
place(3) worker(1) stopped --- 50 stopped workers
place(3) worker(8) stopped --- 2 stopped workers
place(3) worker(64) stopped --- 2 stopped workers
place(3) worker(50) stopped --- 54 stopped workers
place(3) worker(10) stopped --- 54 stopped workers
place(3) worker(61) stopped --- 53 stopped workers
place(3) worker(32) stopped --- 57 stopped workers
place(3) worker(19) stopped --- 59 stopped workers
place(3) worker(27) stopped --- 52 stopped workers
place(3) worker(17) stopped --- 51 stopped workers
place(3) worker(55) stopped --- 60 stopped workers
place(3) worker(11) stopped --- 51 stopped workers
place(3) worker(38) stopped --- 50 stopped workers
place(3) worker(12) stopped --- 50 stopped workers
place(3) worker(54) stopped --- 64 stopped workers
place(3) worker(23) stopped --- 49 stopped workers
place(3) worker(15) stopped --- 49 stopped workers
place(3) worker(57) stopped --- 46 stopped workers
place(3) worker(47) stopped --- 46 stopped workers
place(3) worker(34) stopped --- 46 stopped workers
place(3) worker(66) stopped --- 46 stopped workers
