GRAIN;Step;ElapsedTime
100;Iter 7; 247.959384 ms
100;Iter 8; 156.767085 ms
100;Iter 9; 150.817105 ms
100;Iter 10; 154.627019 ms
100;Iter 11; 172.307012 ms
100;Iter 12; 169.544115 ms
100;Iter 13; 182.179336 ms
100;Iter 14; 196.636733 ms
100;Iter 15; 511.45435 ms
100;Iter 16; 198.692882 ms
100;Iter 17; 194.311193 ms
100;Iter 18; 178.236024 ms
100;Iter 19; 177.374259 ms
100;Iter 20; 185.671821 ms
100;Iter 21; 183.645084 ms
100;Iter 22; 197.514973 ms
100;Iter 23; 185.99319 ms
100;Iter 24; 191.470432 ms
100;Iter 25; 201.416426 ms
100;Iter 26; 197.953582 ms
100;Iter 27; 200.847267 ms
100;Iter 28; 202.846204 ms
100;Iter 29; 759.544147 ms
100;Init; 37977.84899 ms
100;Iter 0; 890.526055 ms
100;Iter 1; 273.606155 ms
100;Iter 2; 213.165338 ms
100;Iter 3; 245.808765 ms
100;Iter 4; 260.220886 ms
100;Iter 5; 163.272146 ms
100;Iter 6; 215.452271 ms
100;Iter 7; 250.037601 ms
100;Iter 8; 175.873114 ms
100;Iter 9; 181.963823 ms
100;Iter 10; 180.04382 ms
100;Iter 11; 176.888515 ms
100;Iter 12; 179.457628 ms
100;Iter 13; 172.617279 ms
100;Iter 14; 162.971615 ms
100;Iter 15; 421.266227 ms
100;Iter 16; 174.866112 ms
100;Iter 17; 174.184272 ms
100;Iter 18; 176.275604 ms
100;Iter 19; 184.333506 ms
100;Iter 20; 193.88749 ms
100;Iter 21; 185.784658 ms
100;Iter 22; 199.661028 ms
100;Iter 23; 191.594066 ms
100;Iter 24; 193.781299 ms
100;Iter 25; 192.089467 ms
100;Iter 26; 204.265035 ms
100;Iter 27; 207.54284 ms
100;Iter 28; 211.653185 ms
100;Iter 29; 699.87671 ms
100;Init; 12407.971364 ms
100;Iter 0; 778.499334 ms
100;Iter 1; 219.298729 ms
100;Iter 2; 193.821915 ms
100;Iter 3; 219.186077 ms
100;Iter 4; 185.60673 ms
100;Iter 5; 189.217365 ms
100;Iter 6; 189.534855 ms
100;Iter 7; 265.195547 ms
100;Iter 8; 27310.746142 ms
100;Iter 9; 178.713371 ms
100;Iter 10; 176.018076 ms
100;Iter 11; 177.346124 ms
100;Iter 12; 178.309282 ms
100;Iter 13; 166.70497 ms
100;Iter 14; 170.070315 ms
100;Iter 15; 355.498427 ms
100;Iter 16; 191.341682 ms
100;Iter 17; 191.210382 ms
100;Iter 18; 191.788923 ms
100;Iter 19; 205.326814 ms
100;Iter 20; 202.610932 ms
100;Iter 21; 204.217768 ms
100;Iter 22; 197.725894 ms
100;Iter 23; 198.38744 ms
100;Iter 24; 200.559487 ms
100;Iter 25; 196.622744 ms
100;Iter 26; 209.574283 ms
100;Iter 27; 216.680512 ms
100;Iter 28; 216.529933 ms
100;Iter 29; 226.140118 ms
100;Init; 38077.499616 ms
100;Iter 0; 917.851452 ms
100;Iter 1; 216.915136 ms
100;Iter 2; 190.887262 ms
100;Iter 3; 212.921946 ms
100;Iter 4; 175.63291 ms
100;Iter 5; 171.044622 ms
100;Iter 6; 180.048059 ms
100;Iter 7; 261.087394 ms
100;Iter 8; 184.572483 ms
100;Iter 9; 176.81151 ms
100;Iter 10; 176.744041 ms
100;Iter 11; 178.940233 ms
100;Iter 12; 175.088627 ms
100;Iter 13; 179.265583 ms
100;Iter 14; 174.372023 ms
100;Iter 15; 376.989916 ms
100;Iter 16; 182.413764 ms
100;Iter 17; 193.134396 ms
100;Iter 18; 187.228571 ms
100;Iter 19; 187.79695 ms
100;Iter 20; 186.227784 ms
100;Iter 21; 186.357893 ms
100;Iter 22; 202.292152 ms
100;Iter 23; 199.672399 ms
100;Iter 24; 206.303673 ms
100;Iter 25; 194.182763 ms
100;Iter 26; 730.142011 ms
100;Iter 27; 211.320238 ms
100;Iter 28; 209.587454 ms
100;Iter 29; 215.253034 ms
100;Init; 37904.71671 ms
100;Iter 0; 774.211023 ms
100;Iter 1; 303.696806 ms
100;Iter 2; 225.576252 ms
100;Iter 3; 257.839395 ms
100;Iter 4; 181.246854 ms
100;Iter 5; 173.509739 ms
100;Iter 6; 184.131431 ms
100;Iter 7; 256.117492 ms
100;Iter 8; 176.709605 ms
100;Iter 9; 189.885244 ms
100;Iter 10; 183.830562 ms
100;Iter 11; 182.265879 ms
100;Iter 12; 165.995963 ms
100;Iter 13; 176.475356 ms
100;Iter 14; 169.754246 ms
100;Iter 15; 369.39174 ms
100;Iter 16; 182.838069 ms
100;Iter 17; 189.257777 ms
100;Iter 18; 184.252344 ms
100;Iter 19; 194.674761 ms
100;Iter 20; 188.203313 ms
100;Iter 21; 198.568785 ms
100;Iter 22; 198.425196 ms
100;Iter 23; 195.26148 ms
100;Iter 24; 210.940338 ms
100;Iter 25; 201.649851 ms
100;Iter 26; 223.72199 ms
100;Iter 27; 219.068571 ms
100;Iter 28; 215.10831 ms
100;Iter 29; 731.808335 ms
1000;Init; 37619.596013 ms
1000;Iter 0; 4145.036675 ms
1000;Iter 1; 3562.319804 ms
1000;Iter 2; 3268.293814 ms
1000;Iter 3; 3400.329602 ms
1000;Iter 4; 3540.927152 ms
1000;Iter 5; 3599.653386 ms
1000;Iter 6; 3365.412067 ms
1000;Iter 7; 3586.916704 ms
1000;Iter 8; 3576.218891 ms
1000;Iter 9; 3628.488012 ms
1000;Iter 10; 3299.876341 ms
1000;Iter 11; 3351.791104 ms
1000;Iter 12; 3383.234751 ms
1000;Iter 13; 3373.109447 ms
1000;Iter 14; 3413.745312 ms
1000;Iter 15; 3739.71837 ms
1000;Iter 16; 3672.873783 ms
1000;Iter 17; 3708.010293 ms
1000;Iter 18; 3672.092954 ms
1000;Iter 19; 3564.288706 ms
1000;Iter 20; 3579.216988 ms
1000;Iter 21; 3475.178362 ms
1000;Iter 22; 3502.385118 ms
1000;Iter 23; 3499.5493 ms
1000;Iter 24; 3649.968985 ms
1000;Iter 25; 3855.466917 ms
1000;Iter 26; 3591.507071 ms
1000;Iter 27; 3678.675334 ms
1000;Iter 28; 3648.912486 ms
1000;Iter 29; 3582.249157 ms
1000;Init; 12413.535496 ms
1000;Iter 0; 4440.307874 ms
1000;Iter 1; 3618.047179 ms
1000;Iter 2; 3232.949981 ms
1000;Iter 3; 3599.890273 ms
1000;Iter 4; 3627.690759 ms
1000;Iter 5; 3566.698704 ms
1000;Iter 6; 3259.751608 ms
1000;Iter 7; 3671.018597 ms
1000;Iter 8; 3585.387064 ms
1000;Iter 9; 3634.50329 ms
1000;Iter 10; 3267.786945 ms
1000;Iter 11; 3268.133152 ms
1000;Iter 12; 3597.14426 ms
1000;Iter 13; 3729.453602 ms
1000;Iter 14; 3355.602384 ms
1000;Iter 15; 3422.994399 ms
1000;Iter 16; 3431.884465 ms
1000;Iter 17; 3390.962575 ms
1000;Iter 18; 3456.45377 ms
1000;Iter 19; 3795.313939 ms
1000;Iter 20; 3764.743555 ms
1000;Iter 21; 3398.841507 ms
1000;Iter 22; 3445.106569 ms
1000;Iter 23; 3453.102489 ms
1000;Iter 24; 3498.821742 ms
1000;Iter 25; 3870.526739 ms
1000;Iter 26; 3581.067352 ms
1000;Iter 27; 3548.446823 ms
1000;Iter 28; 3664.612062 ms
1000;Iter 29; 3605.926074 ms
1000;Init; 38249.931212 ms
1000;Iter 0; 4194.614964 ms
1000;Iter 1; 3588.718789 ms
1000;Iter 2; 3624.281257 ms
1000;Iter 3; 3316.249913 ms
1000;Iter 4; 3657.112255 ms
1000;Iter 5; 3271.756624 ms
1000;Iter 6; 3618.888673 ms
1000;Iter 7; 3693.234545 ms
1000;Iter 8; 3803.594932 ms
1000;Iter 9; 3694.057082 ms
1000;Iter 10; 3709.021654 ms
1000;Iter 11; 3639.92787 ms
1000;Iter 12; 3826.666371 ms
1000;Iter 13; 3437.573439 ms
1000;Iter 14; 3442.856774 ms
1000;Iter 15; 3540.252846 ms
1000;Iter 16; 3830.598052 ms
1000;Iter 17; 3708.272265 ms
1000;Iter 18; 3606.881692 ms
1000;Iter 19; 3757.583147 ms
1000;Iter 20; 3778.831291 ms
1000;Iter 21; 3829.08052 ms
1000;Iter 22; 3621.702649 ms
1000;Iter 23; 3572.701097 ms
1000;Iter 24; 3675.323833 ms
1000;Iter 25; 3660.938868 ms
1000;Iter 26; 3641.071723 ms
1000;Iter 27; 3755.627207 ms
1000;Iter 28; 3654.979467 ms
1000;Iter 29; 3967.754104 ms
1000;Init; 38185.124394 ms
1000;Iter 0; 4063.588521 ms
1000;Iter 1; 3290.891373 ms
1000;Iter 2; 3599.069295 ms
1000;Iter 3; 3295.419457 ms
1000;Iter 4; 3570.519483 ms
1000;Iter 5; 3615.708945 ms
1000;Iter 6; 3326.966928 ms
1000;Iter 7; 3420.974551 ms
1000;Iter 8; 3623.995442 ms
1000;Iter 9; 3314.852912 ms
1000;Iter 10; 3691.314101 ms
1000;Iter 11; 3484.713396 ms
1000;Iter 12; 3390.243677 ms
1000;Iter 13; 3852.870488 ms
1000;Iter 14; 3883.844832 ms
1000;Iter 15; 3621.725892 ms
1000;Iter 16; 3553.025403 ms
1000;Iter 17; 3435.994932 ms
1000;Iter 18; 3529.42952 ms
1000;Iter 19; 3453.062032 ms
1000;Iter 20; 3519.605318 ms
1000;Iter 21; 3530.207012 ms
1000;Iter 22; 3557.941198 ms
1000;Iter 23; 3628.985408 ms
1000;Iter 24; 3944.824723 ms
1000;Iter 25; 3944.860909 ms
1000;Iter 26; 3914.150523 ms
1000;Iter 27; 4028.775614 ms
1000;Iter 28; 3967.665132 ms
1000;Iter 29; 3764.103048 ms
1000;Init; 38121.66769 ms
1000;Iter 0; 3935.336276 ms
1000;Iter 1; 3643.872386 ms
1000;Iter 2; 3244.258764 ms
1000;Iter 3; 3364.778529 ms
1000;Iter 4; 3634.066568 ms
1000;Iter 5; 3709.238501 ms
1000;Iter 6; 3282.256322 ms
1000;Iter 7; 3651.181753 ms
1000;Iter 8; 3321.374921 ms
1000;Iter 9; 3392.388291 ms
1000;Iter 10; 3369.910961 ms
1000;Iter 11; 3689.425472 ms
1000;Iter 12; 3705.48447 ms
1000;Iter 13; 3765.897076 ms
1000;Iter 14; 3697.886589 ms
