Starting process <0> on on <c1262.ofp>
Round ; elapsed time (ms); 
Round 0; 5213.743909; 
Round 1; 4972.601054; 
Round 2; 4931.435534; 
Round 3; 4867.071246; 
Round 4; 4822.600522; 
Round 5; 4820.974151; 
Round 6; 4814.156032; 
Round 7; 4845.47068; 
Round 8; 4945.055263; 
Round 9; 4854.041844; 
